Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,07/02/2025 9:51,9.52,678,0:51:09,152,180,3.6,144,241,5:22,3:36,55,56,1.28,7.5,9.2,248,5:21,382,0,319,534,"7,468",No,02:19.7,10,0:51:02,0:51:09,1,9
Running,21/04/2025 19:24,5.24,365,0:26:28,161,187,3.4,153,161,5:03,4:06,12,17,1.29,8.4,10.9,285,5:04,357,0,356,468,"4,022",No,01:10.1,6,0:26:27,0:26:28,-1,9
Treadmill Running,28/05/2025 19:27,5.66,435,0:31:34,168,179,3.6,154,161,5:34,4:29,--,--,1.17,8.8,10.3,289,--,318,0,313,402,"4,806",No,00:00.9,8,0:31:19,0:31:34,--,--
Running,26/03/2025 8:03,5.12,378,0:25:08,173,192,3.5,154,163,4:55,3:59,4,13,1.31,8.2,10.7,273,4:56,370,0,359,472,"3,876",No,00:08.0,7,0:25:06,0:25:08,10,19
Running,31/05/2025 20:16,10.06,725,0:51:18,175,189,4.3,155,161,5:06,4:20,17,33,1.26,8.5,10.7,280,5:07,355,0,354,442,"7,904",No,01:28.9,11,0:51:15,0:51:18,-1,16
Running,29/01/2025 21:27,8.02,583,0:41:18,160,192,3.6,155,163,5:09,4:24,15,17,1.25,8.5,10.6,282,5:10,351,0,350,441,"6,338",No,00:02.0,10,0:41:16,0:41:18,3,13
Running,31/07/2025 20:11,8.01,570,0:41:17,177,191,4.3,156,165,5:09,4:21,9,21,1.24,8.5,10.6,280,5:10,352,0,350,499,"6,376",No,00:04.7,9,0:41:16,0:41:17,3,17
Running,25/05/2025 19:19,8.01,582,0:41:08,173,196,4.1,156,163,5:08,4:27,13,14,1.25,8.5,10.6,281,5:08,348,0,348,428,"6,320",No,00:04.0,9,0:41:06,0:41:08,-3,6
Running,13/05/2025 19:09,8.02,580,0:40:44,171,185,3.8,156,165,5:05,4:16,18,21,1.25,8.4,10.6,277,5:05,360,0,357,474,"6,356",No,00:05.3,9,0:40:41,0:46:31,0,9
Treadmill Running,19/03/2025 12:56,5.57,416,0:30:15,155,170,3.3,156,180,5:26,4:26,--,--,1.19,8.7,10.3,283,--,326,0,321,408,"4,710",No,00:15.0,7,0:29:51,0:30:15,--,--
Running,28/02/2025 6:25,21.26,"1,687",1:52:56,175,193,5,156,167,5:19,3:24,113,110,1.19,8.6,10.2,280,5:18,342,0,340,585,"17,736",No,00:01.1,23,1:52:51,1:52:56,3,36
Running,29/06/2025 20:06,8.01,559,0:38:45,178,198,4.4,157,165,4:50,4:07,13,18,1.32,8.2,10.8,273,4:51,368,0,367,465,"6,024",No,00:04.6,9,0:38:41,0:38:45,2,15
Running,26/04/2025 7:03,6.02,398,0:29:16,152,186,3.3,157,163,4:52,4:05,6,16,1.31,8.2,10.8,274,4:54,365,0,364,460,"4,558",No,00:04.1,7,0:29:14,0:29:16,4,16
Running,24/02/2025 7:12,10.01,650,0:51:32,132,144,3,157,165,5:09,4:00,14,22,1.23,8.5,10.5,278,5:10,345,0,345,484,"8,072",No,00:02.9,11,0:51:30,0:51:32,2,15
Running,12/07/2025 20:38,10.01,703,0:50:35,175,189,4.7,158,167,5:03,4:41,18,19,1.26,8.4,10.5,276,5:03,354,0,353,439,"7,952",No,00:02.5,11,0:50:33,0:50:35,3,16
Running,10/06/2025 20:17,10.01,700,0:49:20,173,186,4.4,158,165,4:56,4:02,8,19,1.29,8.3,10.7,274,4:57,363,0,362,488,"7,734",No,00:03.9,11,0:49:18,0:49:20,2,15
Running,20/05/2025 7:32,8.01,566,0:40:16,167,187,4,158,165,5:02,4:21,10,17,1.26,8.3,10.5,275,5:02,352,0,351,425,"6,324",No,00:03.0,9,0:40:14,0:40:16,7,14
Running,07/05/2025 18:42,8.02,586,0:39:15,175,195,4.1,158,165,4:54,4:30,21,17,1.29,8.2,10.7,273,4:54,379,0,376,469,"6,180",No,00:05.3,9,0:39:13,0:39:15,-2,5
Running,05/01/2025 7:37,9.02,697,0:45:56,173,192,4.1,158,205,5:06,4:24,22,21,1.24,8.4,10.5,277,5:06,354,0,352,438,"7,202",No,00:04.5,10,0:45:53,0:45:56,2,12
Running,23/08/2025 20:00,8.02,525,0:38:13,167,188,4.1,159,215,4:46,3:51,71,66,1.32,8.1,10.7,269,4:44,395,0,389,517,"6,040",No,00:04.1,9,0:38:11,0:38:13,19,40
Running,16/08/2025 19:31,8.03,540,0:40:48,166,186,4,159,167,5:05,4:30,52,53,1.24,8.4,10.4,274,5:03,356,0,353,428,"6,446",No,00:09.5,9,0:40:46,0:40:48,15,35
Running,08/07/2025 7:02,10.01,659,0:56:11,148,178,3.4,159,165,5:37,5:07,13,23,1.12,8.8,9.8,280,5:38,314,0,313,392,"8,948",No,00:03.5,11,0:56:05,0:58:02,1,10
Running,04/07/2025 8:56,10.01,729,0:51:10,181,197,4.3,159,167,5:07,4:42,18,27,1.23,8.4,10.3,273,5:08,347,0,346,447,"8,106",No,00:03.0,11,0:51:05,1:01:03,2,15
Running,04/06/2025 19:39,10.02,703,0:50:26,171,184,4.3,159,163,5:02,3:29,26,34,1.25,8.4,10.5,274,5:02,358,0,356,549,"7,970",No,00:05.0,11,0:50:24,0:50:26,5,17
Running,01/02/2025 7:57,15.04,"1,101",1:18:00,162,196,4.4,159,167,5:11,4:10,26,23,1.22,8.5,10.3,276,5:12,345,0,342,443,"12,300",No,00:03.1,18,1:17:56,1:18:00,4,11
Running,23/01/2025 8:01,10.02,737,0:50:08,166,191,4.2,159,165,5:00,4:40,29,32,1.26,8.3,10.5,273,5:01,355,0,354,438,"7,898",No,00:00.9,12,0:50:06,0:50:08,-2,10
Running,27/12/2024 8:33,12.01,805,1:03:48,133,143,3.1,159,165,5:19,4:30,64,64,1.18,8.6,10.1,277,5:18,345,0,341,501,"10,068",No,00:03.5,13,1:03:45,1:03:48,0,29
Running,17/07/2025 6:42,10.01,673,0:49:37,170,192,4.6,160,170,4:57,4:34,17,25,1.26,8.2,10.4,270,4:58,357,0,356,452,"7,904",No,00:02.7,11,0:49:35,0:49:37,-2,15
Running,23/12/2024 8:42,9.01,661,0:46:05,154,184,3.6,160,165,5:07,4:37,16,59,1.22,8.4,10.3,273,5:07,349,0,348,425,"7,320",No,00:04.0,10,0:46:03,0:46:05,2,8
Running,20/08/2025 8:26,10.01,659,0:50:43,161,183,4.2,161,172,5:04,4:21,97,97,1.23,8.3,10.2,270,5:02,365,0,360,465,"8,130",No,00:03.0,11,0:50:41,0:50:43,3,37
Running,07/06/2025 7:26,12.02,801,0:59:17,163,189,4.4,161,169,4:56,4:15,22,27,1.26,8.2,10.3,268,4:57,358,0,357,457,"9,456",No,00:04.1,13,0:59:13,0:59:17,3,15
Running,07/01/2025 7:33,15.02,"1,016",1:16:24,149,183,3.9,161,167,5:05,2:28,67,67,1.22,8.3,10.2,270,5:04,354,0,351,655,"12,218",No,00:08.1,16,1:16:19,1:16:24,-3,30
Running,17/12/2024 7:05,7.01,462,0:35:00,143,183,3.1,161,167,5:00,4:36,16,18,1.24,8.3,10.2,268,5:01,354,0,353,409,"5,606",No,00:02.9,8,0:34:59,0:35:00,6,15
Running,14/08/2024 19:25,6.88,576,0:36:07,175,194,4.4,161,169,5:15,4:29,16,16,1.18,8.5,10,273,5:15,342,0,339,398,"5,790",No,00:07.0,8,0:36:03,0:36:07,-1,7
Running,09/07/2024 19:46,5.05,332,0:24:42,151,192,3.2,161,167,4:53,4:28,15,10,1.27,8.2,10.4,265,4:52,356,0,353,429,"3,966",No,00:01.3,7,0:24:38,0:24:42,2,11
Treadmill Running,25/11/2024 21:03,8.09,505,0:38:01,150,174,3.3,162,166,4:42,4:01,--,--,1.32,8,10.5,261,--,370,0,367,433,"6,118",No,00:24.7,9,0:37:51,0:38:01,--,--
Running,20/11/2024 6:29,7.01,452,0:32:32,148,189,3.2,162,169,4:38,4:06,13,12,1.32,7.9,10.4,259,4:39,379,0,379,454,"5,250",No,00:01.8,8,0:32:30,0:32:32,6,10
Running,01/11/2024 8:08,8.01,553,0:37:48,151,200,3.5,162,170,4:43,4:02,9,8,1.3,8,10.4,261,4:44,371,0,370,468,"6,096",No,00:03.0,9,0:37:47,0:38:00,2,7
Running,26/08/2024 7:37,8.02,488,0:39:42,129,138,2.5,162,171,4:57,3:49,7,13,1.24,8.2,10.2,265,4:58,354,0,353,486,"6,410",No,00:05.2,9,0:39:38,0:39:42,3,11
Treadmill Running,17/07/2024 11:15,6.16,336,0:31:23,133,156,2.2,162,172,5:06,3:59,--,--,1.23,8.3,10.1,266,--,336,0,330,449,"5,048",No,00:15.6,9,0:30:52,0:31:23,--,--
Running,26/08/2025 8:53,12.02,840,0:59:06,173,189,5,163,169,4:55,4:03,98,98,1.25,8.1,10.2,264,4:53,370,0,366,470,"9,572",No,00:00.5,14,0:59:04,0:59:06,8,40
Running,30/08/2024 7:36,10.02,779,0:50:12,173,191,4.1,163,168,5:01,4:35,17,13,1.22,8.2,10.1,266,5:01,352,0,351,442,"8,128",No,00:05.1,11,0:50:09,0:50:12,4,12
Running,18/08/2024 7:07,6.02,358,0:29:39,126,138,2.4,163,169,4:56,4:28,7,9,1.24,8.1,10.1,264,4:57,355,0,354,439,"4,802",No,00:04.0,7,0:29:38,0:29:39,3,10
Running,16/11/2024 8:07,12.01,853,0:59:25,162,190,4.3,164,169,4:57,3:38,15,15,1.23,8.1,10,263,4:57,354,0,354,499,"9,712",No,00:01.2,14,0:59:22,0:59:25,1,8
Running,12/11/2024 6:57,10.02,686,0:47:52,154,188,3.7,164,200,4:47,3:34,18,19,1.28,8,10.2,260,4:47,370,0,369,504,"7,816",No,00:01.4,12,0:47:49,0:47:52,-3,4
Running,02/09/2024 7:17,5.01,306,0:22:25,137,143,2.5,164,170,4:28,4:10,3,6,1.36,7.7,10.5,254,4:30,393,0,391,457,"3,648",No,00:02.7,6,0:22:24,0:22:25,4,10
Running,21/08/2024 7:37,7.02,515,0:34:01,165,188,3.6,164,171,4:51,4:35,6,7,1.26,8.1,10.1,261,4:51,363,0,362,429,"5,536",No,00:04.1,8,0:33:59,0:34:01,3,8
Running,12/07/2024 7:37,6.02,401,0:28:46,155,187,3.3,165,170,4:47,4:26,6,36,1.27,8,10.2,259,4:48,357,0,356,408,"4,692",No,00:02.1,8,0:28:45,0:28:46,5,13
Treadmill Running,25/06/2024 18:07,4.96,346,0:23:20,169,185,3.9,165,174,4:42,3:56,--,--,1.29,7.8,10.1,254,--,361,0,355,445,"3,844",No,00:00.7,9,0:23:06,0:23:25,--,--
Running,10/11/2024 7:01,5.01,314,0:22:02,146,192,3,166,202,4:24,3:37,7,9,1.37,7.6,10.4,250,4:25,400,0,399,509,"3,614",No,00:01.6,6,0:22:01,0:22:02,0,8
Treadmill Running,27/06/2024 18:15,5.09,331,0:23:59,160,198,3.7,167,183,4:42,3:47,--,--,1.28,7.8,9.9,252,--,360,0,353,452,"3,988",No,00:23.1,6,0:23:51,0:23:59,--,--
Treadmill Running,23/07/2024 13:30,5.08,306,0:23:02,149,185,3,168,176,4:32,3:36,--,--,1.32,7.7,10,248,--,368,0,365,469,"3,874",No,00:17.9,6,0:22:57,0:23:02,--,--
